date,open,high,low,close
03/14/2024,5175.14,5176.85,5123.30,5150.48
03/15/2024,5123.31,5136.86,5104.35,5117.09
03/18/2024,5154.77,5175.60,5145.47,5149.42
03/19/2024,5139.09,5180.31,5131.59,5178.51
03/20/2024,5181.69,5226.19,5171.55,5224.62
03/21/2024,5253.43,5261.10,5240.66,5241.53
03/22/2024,5242.48,5246.09,5229.87,5234.18
03/25/2024,5219.52,5229.09,5216.09,5218.19
03/26/2024,5228.85,5235.16,5203.42,5203.58
03/27/2024,5226.31,5249.26,5213.92,5248.49
03/28/2024,5248.03,5264.85,5245.82,5254.35
04/01/2024,5257.97,5263.95,5229.20,5243.77
04/02/2024,5204.29,5208.34,5184.05,5205.81
04/03/2024,5194.37,5228.75,5194.37,5211.49
04/04/2024,5244.05,5256.59,5146.06,5147.21
04/05/2024,5158.95,5222.18,5157.21,5204.34
04/08/2024,5211.37,5219.57,5197.35,5202.39
04/09/2024,5217.03,5224.81,5160.78,5209.91
04/10/2024,5167.88,5178.43,5138.70,5160.64
04/11/2024,5172.95,5211.78,5138.77,5199.06
04/12/2024,5171.51,5175.03,5107.94,5123.41
04/15/2024,5149.67,5168.43,5052.47,5061.82
04/16/2024,5064.59,5079.84,5039.83,5051.41
04/17/2024,5068.97,5077.96,5007.25,5022.21
04/18/2024,5031.52,5056.66,5001.89,5011.12
04/19/2024,5005.44,5019.02,4953.56,4967.23
04/22/2024,4987.33,5038.84,4969.40,5010.60
04/23/2024,5028.85,5076.12,5027.96,5070.55
04/24/2024,5084.86,5089.48,5047.02,5071.63
04/25/2024,5019.88,5057.75,4990.58,5048.42
04/26/2024,5084.65,5114.62,5073.14,5099.96
04/29/2024,5114.13,5123.49,5088.65,5116.17
04/30/2024,5103.78,5110.83,5035.31,5035.69
05/01/2024,5029.03,5096.12,5013.45,5018.39
05/02/2024,5049.32,5073.21,5011.05,5064.20
05/03/2024,5122.78,5139.12,5101.22,5127.79
05/06/2024,5142.42,5181.00,5142.42,5180.74
05/07/2024,5187.20,5200.23,5178.96,5187.70
05/08/2024,5168.98,5191.95,5165.86,5187.67
05/09/2024,5189.03,5215.30,5180.41,5214.08
05/10/2024,5225.49,5239.66,5209.68,5222.68
05/13/2024,5233.08,5237.26,5211.16,5221.42
05/14/2024,5221.10,5250.37,5217.98,5246.68
05/15/2024,5263.26,5311.76,5263.26,5308.15
05/16/2024,5310.07,5325.49,5296.19,5297.10
05/17/2024,5303.10,5305.45,5283.59,5303.27
05/20/2024,5305.35,5325.32,5302.40,5308.13
05/21/2024,5298.69,5324.32,5297.87,5321.41
05/22/2024,5319.28,5323.18,5286.01,5307.01
05/23/2024,5340.26,5341.88,5256.93,5267.84
05/24/2024,5281.45,5311.65,5278.39,5304.72
05/28/2024,5315.91,5315.91,5280.89,5306.04
05/29/2024,5278.73,5282.27,5262.70,5266.95
05/30/2024,5259.77,5260.21,5222.10,5235.48
05/31/2024,5243.21,5280.33,5191.68,5277.51
06/03/2024,5297.15,5302.11,5234.32,5283.40
06/04/2024,5278.24,5298.80,5257.63,5291.34
06/05/2024,5314.48,5354.16,5297.64,5354.03
06/06/2024,5357.80,5362.35,5335.36,5352.96
06/07/2024,5343.81,5375.08,5331.33,5346.99
06/10/2024,5341.22,5365.79,5331.52,5360.79
06/11/2024,5353.00,5375.95,5327.25,5375.32
06/12/2024,5409.13,5447.25,5409.13,5421.03
06/13/2024,5441.93,5441.93,5402.51,5433.74
06/14/2024,5424.08,5432.39,5403.75,5431.60
06/17/2024,5431.11,5488.50,5420.40,5473.23
06/18/2024,5476.15,5490.38,5471.32,5487.03
06/20/2024,5499.99,5505.53,5455.56,5473.17
06/21/2024,5466.77,5478.31,5452.03,5464.62
06/24/2024,5459.58,5490.66,5447.59,5447.87
06/25/2024,5460.73,5472.88,5446.56,5469.30
06/26/2024,5460.71,5483.14,5451.87,5477.90
06/27/2024,5473.59,5490.81,5467.54,5482.87
06/28/2024,5488.48,5523.64,5451.12,5460.48
07/01/2024,5471.08,5479.55,5446.53,5475.09
07/02/2024,5461.84,5509.69,5458.43,5509.01
07/03/2024,5507.44,5539.27,5507.42,5537.02
07/05/2024,5537.91,5570.33,5531.63,5567.19
07/08/2024,5572.75,5583.11,5562.51,5572.85
07/09/2024,5584.24,5590.75,5574.57,5576.98
07/10/2024,5591.26,5635.39,5586.44,5633.91
07/11/2024,5635.21,5642.45,5576.53,5584.54
07/12/2024,5590.76,5655.56,5590.44,5615.35
07/15/2024,5638.16,5666.94,5614.75,5631.22
07/16/2024,5644.09,5669.67,5639.02,5667.20
07/17/2024,5610.07,5622.49,5584.81,5588.27
07/18/2024,5608.56,5614.05,5522.81,5544.59
07/19/2024,5543.37,5557.50,5497.04,5505.00
07/22/2024,5544.54,5570.36,5529.04,5564.41
07/23/2024,5565.30,5585.34,5550.90,5555.74
07/24/2024,5505.84,5508.04,5419.98,5427.13
07/25/2024,5428.70,5491.59,5390.95,5399.22
07/26/2024,5433.67,5488.32,5430.70,5459.10
07/29/2024,5476.55,5487.74,5444.44,5463.54
07/30/2024,5478.73,5489.46,5401.70,5436.44
07/31/2024,5505.59,5551.51,5493.75,5522.30
08/01/2024,5537.84,5566.16,5410.42,5446.68
08/02/2024,5376.63,5383.89,5302.03,5346.56
08/05/2024,5151.14,5250.89,5119.26,5186.33
08/06/2024,5206.42,5312.34,5193.56,5240.03
08/07/2024,5293.13,5330.64,5195.54,5199.50
08/08/2024,5252.57,5328.03,5233.85,5319.31
08/09/2024,5314.66,5358.67,5300.84,5344.16
08/12/2024,5351.88,5371.20,5324.37,5344.39
08/13/2024,5376.98,5436.50,5376.98,5434.43
08/14/2024,5442.36,5463.22,5415.91,5455.21
08/15/2024,5501.13,5546.23,5501.13,5543.22
08/16/2024,5530.50,5561.98,5525.17,5554.25
08/19/2024,5557.23,5608.30,5550.74,5608.25
08/20/2024,5602.88,5620.51,5585.50,5597.12
08/21/2024,5603.09,5632.68,5591.57,5620.85
08/22/2024,5637.77,5643.22,5560.95,5570.64
08/23/2024,5602.49,5641.82,5585.16,5634.61
08/26/2024,5639.66,5651.62,5602.34,5616.84
08/27/2024,5602.89,5631.18,5593.48,5625.80
08/28/2024,5624.51,5627.03,5560.95,5592.18
08/29/2024,5607.30,5646.95,5583.71,5591.96
08/30/2024,5612.74,5651.37,5581.79,5648.40
09/03/2024,5623.89,5623.89,5504.33,5528.93
09/04/2024,5506.68,5552.99,5503.66,5520.07
